
CommandType     Name                                               Version    Source
Alias           iwr -> Invoke-WebRequest                                      
Alias           kill -> Stop-Process                                          
Alias           ls -> Get-ChildItem                                           
Alias           man -> help                                                   
Alias           md -> mkdir                                                   
Alias           measure -> Measure-Object                                     
Alias           mi -> Move-Item                                               
Alias           mount -> New-PSDrive                                          
Alias           move -> Move-Item                                             
Alias           mp -> Move-ItemProperty                                       
Alias           mv -> Move-Item                                               
Alias           nal -> New-Alias                                              
Alias           ndr -> New-PSDrive                                            
Alias           New-PIAccessControlRule                            12.0.0.15… VMware.VimAutomation.Cloud
Alias           New-PIVApp                                         12.0.0.15… VMware.VimAutomation.Cloud
Alias           New-PIVAppNetwork                                  12.0.0.15… VMware.VimAutomation.Cloud
Alias           New-PIVAppTemplate                                 12.0.0.15… VMware.VimAutomation.Cloud
Alias           New-PIVM                                           12.0.0.15… VMware.VimAutomation.Cloud
Alias           ni -> New-Item                                                
Alias           nmo -> New-Module                                             
Alias           nsn -> New-PSSession                                          
Alias           nv -> New-Variable                                            
Alias           ogv -> Out-GridView                                           
Alias           oh -> Out-Host                                                
Alias           popd -> Pop-Location                                          
Alias           ps -> Get-Process                                             
Alias           psedit -> Open-EditorFile                          0.2.0      PowerShellEditorServices.Commands
Alias           pushd -> Push-Location                                        
Alias           pwd -> Get-Location                                           
Alias           r -> Invoke-History                                           
Alias           rbp -> Remove-PSBreakpoint                                    
Alias           rcjb -> Receive-Job                                           
Alias           rcsn -> Receive-PSSession                                     
Alias           rd -> Remove-Item                                             
Alias           rdr -> Remove-PSDrive                                         
Alias           Remove-PIAccessControlRule                         12.0.0.15… VMware.VimAutomation.Cloud
Alias           Remove-PIVApp                                      12.0.0.15… VMware.VimAutomation.Cloud
Alias           Remove-PIVAppNetwork                               12.0.0.15… VMware.VimAutomation.Cloud
Alias           Remove-PIVAppTemplate                              12.0.0.15… VMware.VimAutomation.Cloud
Alias           ren -> Rename-Item                                            
Alias           Repair-VsanObject                                  12.1.0.17… VMware.VimAutomation.Storage
Alias           Restart-PIVApp                                     12.0.0.15… VMware.VimAutomation.Cloud
Alias           Restart-PIVAppGuest                                12.0.0.15… VMware.VimAutomation.Cloud
Alias           Restart-PIVM                                       12.0.0.15… VMware.VimAutomation.Cloud
Alias           Restart-PIVMGuest                                  12.0.0.15… VMware.VimAutomation.Cloud
Alias           ri -> Remove-Item                                             
Alias           rjb -> Remove-Job                                             
Alias           rm -> Remove-Item                                             
Alias           rmdir -> Remove-Item                                          
Alias           rmo -> Remove-Module                                          
Alias           rni -> Rename-Item                                            
Alias           rnp -> Rename-ItemProperty                                    
Alias           rp -> Remove-ItemProperty                                     
Alias           rsn -> Remove-PSSession                                       
Alias           rv -> Remove-Variable                                         
Alias           rvpa -> Resolve-Path                                          
Alias           sajb -> Start-Job                                             
Alias           sal -> Set-Alias                                              
Alias           saps -> Start-Process                                         
Alias           sasv -> Start-Service                                         
Alias           sbp -> Set-PSBreakpoint                                       
Alias           scb -> Set-Clipboard                               7.0.0.0    Microsoft.PowerShell.Management
Alias           select -> Select-Object                                       
Alias           set -> Set-Variable                                           
Alias           Set-KmsCluster                                     12.1.0.17… VMware.VimAutomation.Storage
Alias           Set-PIAccessControlRule                            12.0.0.15… VMware.VimAutomation.Cloud
Alias           Set-PINetworkAdapter                               12.0.0.15… VMware.VimAutomation.Cloud
Alias           Set-PIVApp                                         12.0.0.15… VMware.VimAutomation.Cloud
Alias           Set-PIVAppNetwork                                  12.0.0.15… VMware.VimAutomation.Cloud
Alias           Set-PIVAppStartRule                                12.0.0.15… VMware.VimAutomation.Cloud
Alias           Set-PIVAppTemplate                                 12.0.0.15… VMware.VimAutomation.Cloud
Alias           Set-VIToolkitConfiguration                         12.1.0.16… VMware.VimAutomation.Core
Alias           shcm -> Show-Command                                          
Alias           Shutdown-VMGuest                                   12.1.0.16… VMware.VimAutomation.Core
Alias           si -> Set-Item                                                
Alias           sl -> Set-Location                                            
Alias           sleep -> Start-Sleep                                          
Alias           sls -> Select-String                                          
Alias           sort -> Sort-Object                                           
Alias           sp -> Set-ItemProperty                                        
Alias           spjb -> Stop-Job                                              
Alias           spps -> Stop-Process                                          
Alias           spsv -> Stop-Service                                          
Alias           start -> Start-Process                                        
Alias           Start-PIVApp                                       12.0.0.15… VMware.VimAutomation.Cloud
Alias           Start-PIVM                                         12.0.0.15… VMware.VimAutomation.Cloud
Alias           Stop-PIVApp                                        12.0.0.15… VMware.VimAutomation.Cloud
Alias           Stop-PIVAppGuest                                   12.0.0.15… VMware.VimAutomation.Cloud
Alias           Stop-PIVM                                          12.0.0.15… VMware.VimAutomation.Cloud
Alias           Stop-PIVMGuest                                     12.0.0.15… VMware.VimAutomation.Cloud
Alias           stz -> Set-TimeZone                                7.0.0.0    Microsoft.PowerShell.Management
Alias           Suspend-CIVAppGuest                                12.0.0.15… VMware.VimAutomation.Cloud
Alias           Suspend-PIVApp                                     12.0.0.15… VMware.VimAutomation.Cloud
Alias           Suspend-PIVAppGuest                                12.0.0.15… VMware.VimAutomation.Cloud
Alias           Suspend-PIVM                                       12.0.0.15… VMware.VimAutomation.Cloud
Alias           sv -> Set-Variable                                            
Alias           tee -> Tee-Object                                             
Alias           type -> Get-Content                                           
Alias           where -> Where-Object                                         
Alias           wjb -> Wait-Job                                               
Alias           write -> Write-Output                                         

